Time, Reading1, Reading2
330592, 523, 445
331120, 521, 446
331649, 522, 446
332177, 523, 445
332705, 521, 446
333234, 522, 446
333762, 522, 445
334290, 523, 444
334819, 523, 445
335348, 523, 446
335876, 522, 446
336405, 522, 446
336929, 522, 445
337458, 522, 446
337986, 523, 446
338514, 522, 445
339043, 523, 446
339571, 522, 446
340100, 523, 445
340628, 522, 446
341156, 524, 445
341685, 523, 446
342213, 523, 446
342742, 522, 446
343270, 523, 446
343798, 523, 445
344327, 523, 447
344856, 523, 446
345384, 523, 447
345913, 523, 446
346441, 523, 445
346970, 523, 447
347498, 523, 446
348026, 522, 447
348555, 522, 447
349083, 523, 445
349612, 524, 446
350140, 523, 446
350668, 522, 447
351197, 524, 446
351728, 523, 447
352257, 524, 446
352785, 524, 447
353313, 524, 446
353842, 524, 447
354370, 523, 447
354898, 523, 448
355427, 524, 447
355955, 522, 448
356484, 524, 447
357012, 523, 448
357540, 524, 447
358069, 524, 447
358597, 524, 447
359126, 524, 448
359654, 524, 446
360182, 523, 448
360711, 525, 446
361239, 523, 448
361767, 523, 447
362296, 523, 448
362825, 523, 448
363354, 525, 446
363882, 522, 448
364410, 525, 448
364939, 524, 447
365467, 523, 447
365996, 524, 446
366527, 524, 447
367055, 524, 448
367584, 523, 448
368112, 525, 447
368641, 525, 447
369169, 524, 448
369697, 525, 447
370226, 525, 447
370754, 525, 447
371294, 524, 448
371822, 524, 447
372350, 524, 448
372879, 524, 448
373407, 524, 447
373936, 524, 448
374465, 523, 448
374993, 525, 448
375522, 526, 447
376050, 524, 448
376579, 526, 447
377107, 524, 448
377635, 525, 447
378164, 525, 447
378692, 525, 448
379220, 524, 448
379749, 524, 448
380277, 524, 447
380876, 524, 448
381404, 525, 448
381935, 524, 449
382462, 524, 448
382991, 524, 449
383518, 524, 448
384047, 525, 447
384574, 525, 447
385101, 524, 448
385630, 525, 448
386157, 526, 448
386685, 526, 448
387213, 526, 447
387741, 525, 447
388269, 526, 448
388797, 525, 449
389324, 525, 447
389853, 527, 448
390380, 526, 448
390908, 525, 449
391436, 526, 449
391964, 526, 448
392492, 525, 448
393020, 526, 448
393547, 524, 449
394076, 526, 448
394603, 525, 448
395131, 526, 448
395659, 525, 449
396187, 525, 449
396718, 525, 449
397245, 525, 448
397773, 525, 449
398301, 526, 448
398829, 526, 450
399356, 525, 450
399885, 527, 448
400412, 526, 449
400941, 526, 448
401469, 527, 448
401996, 525, 449
402525, 525, 450
403052, 525, 449
403580, 525, 449
404108, 525, 449
404636, 526, 448
405164, 525, 450
405692, 525, 450
406219, 525, 450
406748, 525, 450
407275, 527, 448
407803, 526, 449
408331, 526, 450
408859, 526, 448
409387, 525, 449
409915, 527, 449
410442, 527, 449
410971, 527, 450
411498, 526, 450
412029, 527, 450
412557, 526, 449
413085, 526, 450
413613, 525, 450
414141, 526, 451
414668, 527, 449
415197, 526, 450
415724, 527, 450
416252, 526, 450
416780, 526, 450
417308, 527, 450
417836, 526, 451
418364, 527, 449
418892, 526, 450
419420, 527, 450
419948, 527, 450
420475, 526, 450
421004, 526, 451
421531, 526, 451
422060, 527, 450
422587, 527, 450
423115, 527, 451
423643, 526, 451
424171, 527, 451
424698, 526, 450
425227, 526, 451
425754, 528, 450
426283, 527, 450
426813, 527, 450
427341, 527, 451
427869, 527, 452
428397, 528, 451
428925, 527, 451
429453, 527, 450
429981, 527, 452
430509, 527, 450
431037, 527, 451
431564, 528, 450
432093, 528, 451
432620, 528, 451
433148, 528, 451
433677, 527, 452
434204, 528, 450
434733, 527, 452
435260, 527, 451
435788, 528, 451
436316, 527, 452
436844, 528, 450
437371, 527, 452
437900, 527, 451
438428, 528, 451
438956, 528, 451
439484, 527, 451
440011, 527, 451
440540, 528, 452
441067, 528, 451
441595, 528, 451
442126, 528, 450
442654, 529, 451
443183, 527, 452
443710, 527, 451
444238, 529, 451
444766, 527, 451
445294, 528, 452
445821, 528, 452
446350, 529, 452
446878, 528, 451
447406, 527, 453
447934, 529, 451
448461, 527, 452
448990, 527, 453
449518, 528, 453
450045, 529, 452
450574, 529, 452
451101, 529, 450
451630, 528, 451
452157, 529, 452
452685, 529, 451
453214, 528, 452
453741, 528, 452
454269, 528, 453
454797, 528, 451
455325, 528, 452
455854, 529, 451
456381, 528, 453
456912, 529, 452
457440, 529, 453
457968, 528, 452
458496, 528, 452
459024, 529, 452
459552, 528, 452
460080, 527, 453
460608, 529, 452
461135, 530, 453
461664, 529, 453
462192, 529, 452
462720, 528, 454
463248, 529, 452
463776, 528, 453
464304, 529, 453
464832, 529, 453
465359, 529, 453
465888, 530, 453
466416, 530, 452
466944, 527, 453
467472, 529, 453
467999, 529, 453
468528, 529, 454
469056, 529, 453
469583, 528, 454
470112, 530, 452
470639, 529, 453
471168, 529, 453
471696, 530, 453
472220, 528, 454
472748, 529, 454
473276, 531, 453
473803, 530, 453
474332, 531, 453
474860, 529, 454
475387, 529, 454
475916, 529, 454
476444, 529, 455
476972, 529, 454
477500, 530, 453
478028, 530, 453
478556, 529, 454
479084, 529, 454
479611, 530, 453
480140, 530, 454
480668, 530, 454
481196, 530, 454
481724, 530, 454
482252, 531, 452
482780, 530, 454
483308, 530, 455
483836, 530, 454
484364, 530, 453
484892, 530, 453
485421, 530, 454
485948, 530, 453
486476, 529, 454
487027, 529, 454
487558, 529, 454
488087, 530, 454
488617, 529, 455
489148, 531, 455
489678, 530, 454
490209, 531, 454
490739, 530, 454
491270, 531, 455
491800, 529, 455
492331, 531, 453
492861, 529, 454
493391, 530, 453
493922, 530, 454
494452, 530, 453
494983, 530, 456
495513, 530, 454
496044, 529, 455
496574, 530, 454
497104, 530, 456
497635, 530, 455
498165, 530, 455
498696, 530, 455
499226, 530, 454
499757, 530, 455
500287, 530, 456
500817, 530, 456
501348, 530, 455
501881, 530, 454
502412, 531, 455
502942, 530, 456
503473, 531, 454
504003, 529, 455
504532, 531, 455
505064, 531, 454
505594, 532, 455
506124, 529, 455
506654, 530, 455
507185, 530, 455
507715, 530, 456
508246, 532, 454
508776, 530, 455
509306, 530, 456
509837, 532, 454
510367, 532, 455
510898, 532, 455
511428, 531, 456
511959, 531, 456
512489, 531, 456
513019, 530, 456
513575, 531, 456
514106, 531, 457
514636, 531, 455
515167, 531, 456
515697, 532, 454
516228, 531, 455
516758, 531, 456
517292, 532, 455
517822, 531, 456
518352, 530, 456
518883, 532, 456
519413, 531, 456
519944, 532, 455
520474, 530, 457
521005, 530, 457
521535, 531, 455
522065, 531, 457
522595, 531, 457
523125, 531, 456
523656, 531, 456
524186, 531, 457
524717, 532, 455
525247, 531, 456
525777, 531, 457
526308, 532, 456
526838, 531, 456
527369, 532, 457
527899, 532, 456
528430, 532, 457
528960, 532, 457
529490, 531, 456
530021, 532, 456
530551, 533, 456
531082, 531, 458
531612, 532, 456
532146, 532, 456
532676, 532, 456
533207, 532, 456
533737, 531, 457
534267, 532, 456
534798, 533, 456
535328, 533, 457
535859, 533, 456
536389, 532, 457
536920, 533, 456
537450, 532, 457
537980, 532, 456
538511, 532, 458
539041, 533, 457
539572, 532, 458
540102, 533, 458
540633, 532, 458
541163, 534, 457
541693, 531, 458
542224, 532, 458
542754, 532, 458
543285, 533, 456
543815, 533, 457
544346, 533, 458
544876, 533, 457
545406, 532, 457
545937, 532, 457
546467, 533, 458
546998, 533, 458
547531, 534, 457
548062, 532, 459
548592, 533, 458
549123, 532, 459
549653, 533, 458
550183, 532, 458
550714, 532, 458
551244, 533, 459
551775, 534, 457
552305, 534, 457
552836, 534, 457
553367, 533, 458
553897, 533, 459
554428, 532, 459
554958, 533, 458
555489, 532, 459
556019, 533, 457
556550, 533, 459
557080, 534, 458
557611, 534, 458
558141, 533, 459
558671, 533, 459
559202, 534, 458
559732, 533, 459
560263, 533, 459
560793, 534, 458
561324, 534, 458
561854, 534, 458
562387, 534, 458
562918, 534, 459
563448, 535, 458
563980, 533, 459
564510, 533, 459
565041, 534, 460
565571, 535, 459
566102, 533, 460
566632, 534, 459
567162, 533, 460
567693, 535, 458
568223, 533, 460
568754, 535, 458
569284, 534, 460
569815, 535, 458
570345, 535, 459
570875, 535, 458
571406, 535, 459
571936, 534, 459
572467, 535, 459
572997, 535, 458
573528, 535, 460
574059, 535, 459
574589, 535, 459
575120, 534, 460
575650, 535, 460
576181, 535, 459
576711, 534, 460
577242, 535, 459
577775, 534, 459
578306, 536, 459
578836, 535, 459
579366, 535, 459
579897, 534, 460
580427, 534, 460
580958, 534, 461
581489, 535, 459
582020, 535, 460
582550, 534, 460
583080, 535, 460
583611, 536, 460
584141, 535, 460
584672, 536, 460
585202, 534, 461
585733, 536, 459
586263, 536, 460
586795, 536, 461
587325, 535, 461
587855, 535, 460
588386, 534, 461
588916, 536, 460
589447, 535, 461
589977, 535, 461
590508, 535, 460
591038, 535, 461
591568, 534, 461
592099, 536, 460
592633, 536, 461
593164, 535, 461
593694, 535, 462
594225, 536, 461
594755, 535, 462
595286, 534, 461
595816, 534, 462
596346, 536, 461
