Time,Reading1,Reading2
92400369,493,460
92400906,495,460
92401442,496,460
92401979,495,460
92402515,495,460
92403052,495,460
92403589,494,460
92404125,495,460
92404662,495,460
92405197,495,460
92405734,495,460
92406270,494,460
92406810,495,460
92407347,495,461
92407883,495,460
92408420,496,460
92408956,494,460
92409493,494,460
92410030,495,461
92410566,494,460
92411103,494,460
92411648,495,460
92412183,495,460
92412720,495,460
92413256,495,461
92413793,495,460
92414329,495,461
92414866,495,460
92415403,496,460
92415939,494,461
92416476,493,460
92417012,494,460
92417549,495,460
92418085,495,460
92418622,494,460
92419159,494,460
92419719,495,459
92420258,495,460
92420795,494,460
92421330,495,460
92421867,495,460
92422404,494,460
92422940,494,460
92423477,495,460
92424012,495,460
92424549,496,460
92425085,495,460
92425622,496,460
92426158,496,460
92426694,494,460
92427231,494,460
92427767,494,461
92428303,495,460
92428839,494,461
92429376,493,460
92429913,495,460
92430449,495,460
92430985,495,460
92431521,495,460
92432058,494,460
92432594,495,460
92433130,496,460
92433667,494,461
92434206,495,461
92434743,495,460
92435279,495,460
92435815,494,460
92436352,495,460
92436888,496,460
92437425,495,461
92437960,493,460
92438497,494,459
92439033,495,461
92439570,494,461
92440107,495,460
92440643,495,460
92441179,496,460
92441715,494,460
92442252,494,460
92442788,495,460
92443325,494,460
92443860,494,460
92444397,494,460
92444934,493,460
92445470,494,460
92446007,495,460
92446542,494,460
92447079,494,460
92447616,495,460
92448155,495,460
92448692,494,460
92449228,495,460
92449764,494,460
92450300,494,460
92450837,494,460
92451374,496,460
92451910,495,460
92452446,494,460
92452982,495,461
92453519,494,460
92454055,496,460
92454592,495,460
92455129,494,460
92455664,495,460
92456201,494,460
92456737,494,460
92457274,496,460
92457810,494,460
92458346,494,460
92458883,496,459
92459419,495,460
92459956,493,460
92460492,495,460
92461029,494,460
92461568,494,460
92462104,495,460
92462641,495,461
92463177,494,461
92463714,494,460
92464250,494,460
92464786,494,461
92465323,496,461
92465859,495,460
92466396,496,460
92466932,495,460
92467469,495,460
92468005,496,460
92468541,496,460
92469078,494,460
92469614,495,460
92470151,495,461
92470687,495,460
92471224,493,460
92471760,494,460
92472297,496,460
92472833,494,461
92473369,495,460
92473906,494,460
92474442,494,460
92474979,494,460
92475518,496,460
92476055,494,461
92476591,495,460
92477127,494,460
92477664,496,460
92478200,494,460
92478737,494,460
92479273,496,460
92479810,494,460
92480347,495,460
92480882,495,460
92481419,495,460
92481955,494,460
92482492,495,460
92483028,494,460
92483565,495,460
92484102,495,460
92484638,495,460
92485174,495,460
92485710,495,460
92486247,496,460
92486784,496,461
92487320,495,461
92487857,494,460
92488393,494,460
92488933,494,460
92489468,495,460
92490005,495,460
92490542,494,460
92491078,494,460
92491615,494,460
92492151,495,460
92492688,494,461
92493224,495,460
92493761,494,460
92494298,494,460
92494833,495,460
92495370,495,460
92495906,494,460
92496443,494,460
92496979,494,460
92497516,494,460
92498053,496,460
92498589,494,461
92499126,495,460
92499662,494,460
92500199,495,461
92500736,495,460
92501272,496,460
92501809,493,460
92502345,495,460
92502884,495,460
92503420,494,460
92503957,496,460
92504494,496,460
92505030,494,460
92505567,494,460
92506103,495,461
92506640,495,461
92507176,494,460
92507713,495,460
92508250,494,461
92508786,496,461
92509323,495,461
92509858,495,460
92510395,496,461
92510931,494,460
92511468,495,461
92512005,495,461
92512541,495,460
92513078,496,460
92513614,495,461
92514151,494,461
92514688,495,461
92515224,496,460
92515761,494,460
92516297,494,461
92516837,495,460
92517373,495,461
92517910,495,461
92518447,495,460
92518983,495,460
92519520,494,460
92520056,494,460
92520592,495,460
92521128,496,460
92521665,495,460
92522202,494,461
92522738,495,460
92523275,494,460
92523811,495,460
92524348,495,460
92524884,495,460
92525421,494,461
92525958,493,461
92526494,495,460
92527031,494,460
92527567,495,460
92528104,496,460
92528641,495,460
92529177,496,460
92529714,494,461
92530253,495,460
92530790,494,461
92531326,495,461
92531863,495,461
92532400,495,460
92532936,495,460
92533473,494,461
92534009,495,461
92534546,494,460
